date,trend,ipca,selic,IBC-Br,icom,expectativa,dolar,icon,ibov,open,high,low,close,adjclose,volume,ticker
2014-04-01,Uptrend,0.67,10.983333333333333,"147,69","97,4","115,8","2,232175",2371.14,51626,10.50302505493164,10.950695037841797,10.086511611938477,10.757197380065918,9.185578346252441,87199983,LREN3.SA
2014-05-01,Uptrend,0.46,11.0,"147,14","92,8","107,94","2,22028095238095",2420.37,51239,10.757197380065918,11.44591999053955,10.70144271850586,11.158951759338379,9.643589973449707,87229255,LREN3.SA
2014-06-01,Uptrend,0.4,11.0,"140,88","93,4","105,01","2,23486",2529.48,53168,11.08843994140625,12.082168579101562,10.871983528137207,11.609901428222656,10.033303260803223,84204526,LREN3.SA
2014-07-01,Uptrend,0.01,11.0,"149,85","95,6","109,76","2,22402173913043",2554.95,55829,11.678773880004883,12.177277565002441,11.172069549560547,11.232744216918945,9.724644660949707,83460538,LREN3.SA
2014-08-01,Uptrend,0.25,11.0,"148,27","93,6","110,83","2,26742380952381",2779.68,61288,11.232744216918945,12.626587867736816,11.093358993530273,12.593791007995605,10.902957916259766,81106618,LREN3.SA
2014-09-01,Uptrend,0.57,11.0,"148,12","90,3","122,3","2,33225454545455",2605.52,54116,12.667583465576172,12.667583465576172,10.927738189697266,11.655816078186035,10.090914726257324,102443147,LREN3.SA
2014-10-01,Uptrend,0.42,11.016129032258064,"149,7","89,7","121,64","2,44764347826087",2760.08,54629,11.452479362487793,12.442928314208984,10.722761154174805,12.167439460754395,10.553313255310059,104692180,LREN3.SA
2014-11-01,Uptrend,0.51,11.25,"144,92","86,6","124,39","2,54773",2834.92,54664,12.082168579101562,12.703659057617188,11.537750244140625,12.536397933959961,10.873324394226074,60209161,LREN3.SA
2014-12-01,Uptrend,0.78,11.701612903225806,"145,48","86,2","115,79","2,63873636363636",2673.54,50007,12.134642601013184,12.626587867736816,11.4705171585083,12.539677619934082,10.876171112060547,17663061,LREN3.SA
2015-01-01,Uptrend,1.24,11.911290322580646,"138,73","83,9","114,01","2,63361904761905",2603.85,46908,12.539677619934082,12.560995101928711,11.463957786560059,11.560707092285156,10.044941902160645,107391872,LREN3.SA
2015-02-01,Uptrend,1.22,12.25,"136,56","77,3","115,05","2,81583888888889",2691.98,51583,11.645977020263672,13.897445678710938,11.473796844482422,13.789217948913574,11.98126220703125,116161146,LREN3.SA
2015-03-01,Uptrend,1.32,12.685483870967742,"149,5","72,6","109,26","3,13886363636364",2718.59,51150,13.743303298950195,14.94528865814209,13.190685272216797,14.886255264282227,12.934465408325195,118025379,LREN3.SA
2015-04-01,Uptrend,0.71,12.766666666666667,"142,42","72,6","105,82","3,042595",2861.68,56229,14.989563941955566,17.275468826293945,14.799345016479492,17.226274490356445,14.997432708740234,86862746,LREN3.SA
2015-05-01,Uptrend,0.74,13.25,"139,81","75,2","98,71","3,061075",2793.34,52760,17.226274490356445,19.102224349975586,16.890111923217773,17.554237365722656,15.420109748840332,85921792,LREN3.SA
2015-06-01,Uptrend,0.79,13.7,"138,53","72,7","101,54","3,11112380952381",2847.94,53081,17.554237365722656,19.05630874633789,17.201675415039062,18.52992820739746,16.277179718017578,98157307,LREN3.SA
2015-07-01,Downtrend,0.62,13.78225806451613,"143,13","70,3","100,04","3,22250869565217",2826.25,50865,18.661113739013672,19.413789749145508,16.97210121154785,17.8559627532959,15.7116117477417,86795057,LREN3.SA
2015-08-01,Downtrend,0.22,14.25,"140,83","67,7","101,56","3,51369523809524",2656.04,46626,17.687061309814453,17.783811569213867,15.135506629943848,16.155473709106445,14.215335845947266,130799367,LREN3.SA
2015-09-01,Downtrend,0.54,14.25,"138,06","67,1","102,66","3,90580952380952",2661.64,45059,15.699604034423828,17.044254302978516,14.725552558898926,15.086313247680664,13.274574279785156,107481763,LREN3.SA
